COMPANY,CATEGORY
FleetBoston Finl,Banking
RWE Group,Utilities
UniCredito Italiano,Banking
BT Group,Telecommunications services
United Parcel Service,Transportation
United Technologies,Conglomerates
Fortis,Diversified financials
Dow Chemical,Chemicals
Aegon Insurance Group,Insurance
Dexia,Banking
Renault Group,Consumer durables
Target,Retailing
Coca-Cola,Food drink & tobacco
Lehman Bros Holdings,Diversified financials
PepsiCo,Food drink & tobacco
Prudential,Insurance
Bank of Nova Scotia,Banking
Boeing,Aerospace & defense
Aventis,Drugs & biotechnology
Repsol-YPF,Oil & gas operations
News Corp,Media
BASF Group,Chemicals
China Mobile (HK) Hong,Telecommunications services
Dell,Technology hardware & equipment
Peugeot Groupe,Consumer durables
Endesa Group,Utilities
AT&T,Telecommunications services
Statoil Group,Oil & gas operations
Bristol-Myers Squibb,Drugs & biotechnology
AstraZeneca,Drugs & biotechnology
Tesco,Food markets
Abbott Laboratories,Drugs & biotechnology
BHP Billiton,Materials
Bayer Group,Chemicals
Prudential Financial,Insurance
MBNA,Diversified financials
Commonwealth Bank Group,Banking
Petrobras-Petrsleo Brasil,Oil & gas operations
Sanpaolo IMI,Banking
Wyeth,Drugs & biotechnology
Canadian Imperial Bank,Banking
Motorola,Technology hardware & equipment
EI du Pont de Nemours,Chemicals
Den Danske Bank,Banking
Caterpillar,Capital goods
Honeywell,Aerospace & defense
Nordea,Banking
Anglo American,Materials
Canon,Business services & supplies
Travelers Property Cas,Insurance
Cendant,Hotels restaurants & leisure
Sun Life Financial,Insurance
Saint-Gobain,Construction
East Japan Railway,Transportation
Hutchison Whampoa,Conglomerates
Cardinal Health,Health care equipment & services
Bank of Montreal,Banking
Alcoa,Materials
National City,Banking
Westpac Banking Group,Banking
Lowe`s Cos,Retailing
Toronto-Dominion Bank,Banking
Korea Electric Power,Utilities
Moller-Maersk,Transportation
Kookmin Bank,Banking
British Amer Tobacco,Food drink & tobacco
Mitsubishi,Trading companies
Kansai Electric Power,Utilities
Almanij,Diversified financials
Millea Holdings,Insurance
ANZ Banking,Banking
Countrywide Financial,Diversified financials
Lockheed Martin,Aerospace & defense
M,Conglomerates
Telstra,Telecommunications services
Eli Lilly and Co,Drugs & biotechnology
UnitedHealth Group,Health care equipment & services
Pinault-Printemps-Redoute,Retailing
Norsk Hydro,Conglomerates
Northrop Grumman,Aerospace & defense
Manulife Financial,Insurance
Chubu Electric Power,Utilities
Sears Roebuck,Retailing
Exelon,Utilities
McDonald`s,Hotels restaurants & leisure
BCE,Telecommunications services
HCA,Health care equipment & services
Aflac,Insurance
Southern Co,Utilities
Fifth Third Bancorp,Banking
Hyundai Motor,Consumer durables
Amgen,Drugs & biotechnology
National Grid Transco,Utilities
Kroger,Food markets
Lukoil Holding,Oil & gas operations
SunTrust Banks,Banking
L`Oreal Group,Household & personal products
AT&T Wireless,Telecommunications services
Rio Tinto,Materials
Iberdrola,Utilities
Capital One Financial,Diversified financials
Dominion Resources,Utilities
Union Pacific,Transportation
Nextel Commun,Telecommunications services
ACE,Insurance
Bank of New York,Banking
Volvo Group,Capital goods
Walgreen,Retailing
Aetna,Health care equipment & services
UES of,Utilities
Standard Chartered Group,Banking
Anheuser-Busch Cos,Food drink & tobacco
China Telecom,Telecommunications services
CNP Assurances,Insurance
Kimberly-Clark,Household & personal products
Hitachi,Business services & supplies
ThyssenKrupp Group,Materials
Sprint FON,Telecommunications services
Clear Channel Commun,Media
Denso,Consumer durables
John Hancock Financial,Insurance
KDDI,Telecommunications services
BB&T,Banking
Yukos,Oil & gas operations
Marathon Oil,Oil & gas operations
Groupe Danone,Food drink & tobacco
First Data,Software & services
Qwest Communications,Telecommunications services
Metro AG,Food markets
Bouygues Group,Construction
Emerson Electric,Conglomerates
Allied Irish Banks,Banking
Principal Financial,Diversified financials
Svenska Handelsbanken,Banking
Costco Wholesale,Retailing
Mitsui & Co,Trading companies
Takeda Chemical Inds,Drugs & biotechnology
Chubb,Insurance
Veolia Environnement,Utilities
Bear Stearns Cos,Diversified financials
Banca Intesa,Banking
FedEx,Transportation
Central Japan Railway,Transportation
Texas Instruments,Semiconductors
Japan Tobacco,Food drink & tobacco
Deere & Co,Capital goods
KT,Telecommunications services
Sara Lee,Food drink & tobacco
Oracle,Software & services
PNC Financial Services,Banking
WellPoint Health,Health care equipment & services
General Dynamics,Aerospace & defense
Marsh & McLennan,Insurance
Indian Oil,Oil & gas operations
Lafarge,Construction
Centrica,Utilities
Coca-Cola Enterprises,Food drink & tobacco
Banco Bradesco Group,Banking
Medtronic,Health care equipment & services
J Sainsbury,Food markets
Fuji Photo Film,Household & personal products
State Bank of India Group,Banking
General Mills,Food drink & tobacco
State Street,Banking
Automatic Data,Business services & supplies
Waste Management,Business services & supplies
Entergy,Utilities
Progressive,Insurance
Pub Svc Enterprise,Utilities
Carnival Corp,Hotels restaurants & leisure
Bank of Ireland,Banking
ConAgra Foods,Food drink & tobacco
KeyCorp,Banking
Monte dei Paschi,Banking
Schlumberger,Oil & gas operations
Occidental Petroleum,Oil & gas operations
Ito-Yokado,Food markets
Cigna,Health care equipment & services
SEB-Skand Enskilda,Banking
FPL Group,Utilities
Burlington Santa Fe,Transportation
St Paul Cos,Insurance
Alcan,Materials
Oil & Natural Gas,Oil & gas operations
Thomson Corp,Media
Posco,Materials
Archer Daniels,Food drink & tobacco
Mitsui Sumitomo Ins,Insurance
Sanofi-Synthelabo,Drugs & biotechnology
McKesson,Health care equipment & services
CVS,Retailing
Tohoku Electric Power,Utilities
Fortum,Oil & gas operations
Raytheon,Aerospace & defense
Weyerhaeuser,Materials
Kyushu Electric Power,Utilities
Akzo Nobel Group,Chemicals
Johnson Controls,Consumer durables
SLM,Diversified financials
Devon Energy,Oil & gas operations
Albertsons,Food markets
Alltel,Telecommunications services
Illinois Tool Works,Capital goods
Ricoh,Business services & supplies
Surgutneftegas Oil,Oil & gas operations
Aeon,Retailing
Gap,Retailing
Gillette,Household & personal products
Progress Energy,Utilities
Anthem,Health care equipment & services
CIC Group,Banking
Xerox,Business services & supplies
Golden West Finl,Banking
Reliance Industries,Oil & gas operations
Edison International,Utilities
Sysco,Food markets
Gannett,Media
Baxter International,Health care equipment & services
Scottish Power,Utilities
Mitsubishi Heavy Inds,Capital goods
EnCana,Oil & gas operations
Bridgestone,Consumer durables
Cathay Financial,Insurance
Best Buy,Retailing
Sumitomo,Trading companies
Eurohypo,Banking
Deutsche Lufthansa,Transportation
Vinci Group,Construction
Singapore Telecom,Telecommunications services
Power Corp of Canada,Diversified financials
Swisscom,Telecommunications services
Banco do Brasil,Banking
Nortel Networks,Technology hardware & equipment
Schneider Electric,Capital goods
Forenings Sparbanken,Banking
Aire Liquide Group,Chemicals
BOC Hong Kong,Banking
XL Capital,Insurance
Masco,Construction
Toshiba,Business services & supplies
Aon,Insurance
Cadbury Schweppes,Food drink & tobacco
Sharp,Business services & supplies
Valero Energy,Oil & gas operations
Consolidated Edison,Utilities
Mellon Finl,Banking
UPM-Kymmene,Materials
Colgate-Palmolive,Household & personal products
Federated Dept Strs,Retailing
Anadarko Petroleum,Oil & gas operations
Schering-Plough,Drugs & biotechnology
Compass Group,Hotels restaurants & leisure
Petro-Canada,Oil & gas operations
JC Penney,Retailing
Marks & Spencer,Retailing
Nippon Oil,Oil & gas operations
Omnicom Group,Media
International Paper,Materials
Old Mutual,Diversified financials
EMC,Technology hardware & equipment
Allianz Worldwide,Insurance
CRH,Construction
Kingfisher,Retailing
Kellogg,Food drink & tobacco
Vodafone,Telecommunications services
Medco Health Solutions,Health care equipment & services
NIKE,Household & personal products
Tribune,Media
Telenor,Telecommunications services
Standard Bank Group,Banking
Chunghwa Telecom,Telecommunications services
SCA-Svenska Cellulosa,Materials
Michelin Group,Consumer durables
Erste Bank,Banking
Deutsche Telekom,Telecommunications services
DBS Group,Banking
SAP,Software & services
GUS,Retailing
Holcim,Construction
Tokyo Gas,Utilities
Ingersoll-Rand,Conglomerates
AmerisourceBergen,Health care equipment & services
Credit Suisse Group,Diversified financials
FirstEnergy,Utilities
France Telecom,Telecommunications services
Cemex,Construction
May Dept Stores,Retailing
Firstrand,Banking
Accenture,Software & services
Banco Popular Espaqol,Banking
George Weston,Food markets
Sberbank of Russia,Banking
Generali Group,Insurance
China Unicom,Telecommunications services
JFE Holdings,Materials
Christian Dior,Household & personal products
Henkel Group,Household & personal products
Lincoln National,Insurance
Kyocera,Business services & supplies
Shin-Etsu Chemical,Chemicals
Woori Finance Holdings,Banking
Mitsubishi Estate,Diversified financials
Georgia-Pacific,Materials
Centex,Construction
Areva Group,Materials
TPG,Transportation
Sumitomo Mitsui Financial,Banking
E.ON,Utilities
Mitsubishi Tokyo Finl,Banking
West Japan Railway,Transportation
Taiwan Semiconductor,Semiconductors
Alliance & Leicester,Banking
Aviva,Insurance
Mizuho Financial,Banking
Computer Sciences,Software & services
Zurich Financial Services,Insurance
Diageo,Food drink & tobacco
HJ Heinz,Food drink & tobacco
SouthTrust,Banking
Telefsnica,Telecommunications services
Stora Enso,Materials
Imperial Tobacco Group,Food drink & tobacco
Telecom Italia,Telecommunications services
Kohl`s,Retailing
Degussa,Chemicals
Matsushita Electric Indl,Consumer durables
Comerica,Banking
Sasol,Oil & gas operations
Interbrew,Food drink & tobacco
Amerada Hess,Oil & gas operations
Regions Financial,Banking
Sempra Energy,Utilities
TDC Group,Telecommunications services
Itochu,Trading companies
Norfolk Southern,Transportation
STMicroelectronics,Semiconductors
PPL,Utilities
Suez Group,Utilities
Constellation Energy,Utilities
Sun Hung Kai Properties,Diversified financials
Unocal,Oil & gas operations
HVB-HypoVereinsbank,Banking
Magna International,Consumer durables
Qualcomm,Technology hardware & equipment
Electrolux Group,Consumer durables
Vivendi Universal,Media
CIT Group,Diversified financials
DTE Energy,Utilities
Swiss Re Group,Insurance
United Overseas Bank,Banking
Chugoku Electric Power,Utilities
Apache,Oil & gas operations
Portugal Telecom,Telecommunications services
Eastman Kodak,Household & personal products
UFJ Holdings,Banking
M&T Bank,Banking
Northern Rock,Banking
Wolseley,Trading companies
Paccar,Consumer durables
EDP-Elec de Portugal,Utilities
Mitsui Fudosan,Diversified financials
Depfa Bank,Diversified financials
Suzuki Motor,Consumer durables
Charles Schwab,Diversified financials
Itazsa,Banking
BG Group,Oil & gas operations
Staples,Retailing
Pepsi Bottling Group,Food drink & tobacco
SABMiller,Food drink & tobacco
Accor,Hotels restaurants & leisure
Philips Group,Conglomerates
PTT Public Company,Oil & gas operations
ABB Group,Capital goods
Gas Natural SDG,Utilities
Dai Nippon Printing,Media
Burlington Resources,Oil & gas operations
Hartford Finl Service,Insurance
Marriott Intl,Hotels restaurants & leisure
TransCanada,Utilities
InterActiveCorp,Retailing
Legal & General Group,Insurance
Safeco,Insurance
Tyson Foods,Food drink & tobacco
Altadis,Food drink & tobacco
PPG Industries,Chemicals
Shinhan Financial,Banking
AmSouth Bancorp,Banking
Equity Office Prop,Diversified financials
Sibneft,Oil & gas operations
Limited Brands,Retailing
Solvay Group,Chemicals
Takefuji,Diversified financials
EADS,Aerospace & defense
BCP-Bco Com Portugujs,Banking
Kirin Brewery,Food drink & tobacco
Singapore Airlines,Transportation
Textron,Conglomerates
Marubeni,Trading companies
Duke Energy,Utilities
Eletrobras,Utilities
Acom,Diversified financials
Nomura Holdings,Diversified financials
Mitsubishi Motors,Consumer durables
Nationwide Financial,Insurance
Abbey National,Banking
Scottish & Southern,Utilities
Jefferson-Pilot,Insurance
Vale do Rio Doce,Materials
Husky Energy,Oil & gas operations
Orix,Diversified financials
Commerzbank,Banking
Air Prods & Chems,Chemicals
Southwest Airlines,Transportation
Charter One Finl,Banking
Aiful,Diversified financials
BPVN Group,Banking
Praxair,Chemicals
Campbell Soup,Food drink & tobacco
National Bank of Canada,Banking
Carso Global Telecom,Telecommunications services
Suncor Energy,Oil & gas operations
Hannover Re,Insurance
DR Horton,Construction
Reckitt Benckiser,Household & personal products
TJX Cos,Retailing
Malayan Banking,Banking
Assoc British Foods,Food drink & tobacco
St George Bank,Banking
Porsche,Consumer durables
Ameren,Utilities
Marshall & Ilsley,Banking
Yum Brands,Hotels restaurants & leisure
ABSA Group,Diversified financials
Finmeccanica,Aerospace & defense
Fujitsu,Technology hardware & equipment
Eaton,Capital goods
Fortune Brands,Conglomerates
Cheung Kong,Diversified financials
Toppan Printing,Media
Ahold,Food markets
Unisn Fenosa,Utilities
Danaher,Capital goods
Nintendo,Consumer durables
Cepsa,Oil & gas operations
Kao,Household & personal products
Loews,Insurance
Newmont Mining,Materials
Sekisui House,Construction
NEC,Technology hardware & equipment
AutoNation,Retailing
Adecco,Business services & supplies
Northern Trust,Banking
Brascan,Diversified financials
Heineken Holding,Food drink & tobacco
Mitsubishi Chemical,Chemicals
LM Ericsson,Technology hardware & equipment
DnB Holding,Banking
Boots,Food markets
Richemont,Household & personal products
Pulte Homes,Construction
Lennar,Construction
Nippon Steel,Materials
Fiat Group,Consumer durables
EnBW-Energie Baden,Utilities
Fubon Financial,Diversified financials
KeySpan,Utilities
CSX,Transportation
Fidelity National Finl,Insurance
Novo-Nordisk,Drugs & biotechnology
Natexis Banques Populaire,Banking
Linde,Capital goods
Alcatel,Technology hardware & equipment
Sumitomo Chemical,Chemicals
Resona Holdings,Banking
BAA,Transportation
Bunge,Food drink & tobacco
Turkiye Is Bankasi,Banking
Canadian National,Transportation
American Electric,Utilities
Pitney Bowes,Business services & supplies
Daiei,Retailing
Aisin Seiki,Consumer durables
Vattenfall Europe,Utilities
CNOOC Hong,Oil & gas operations
Nan Ya Plastic,Chemicals
Cinergy,Utilities
McGraw-Hill Cos,Media
Royal KPN,Telecommunications services
National Bank of Greece,Banking
Rohm and Haas,Chemicals
Coles Myer,Food markets
BOC Group,Chemicals
Promise,Diversified financials
WPP,Media
Schering Group,Drugs & biotechnology
Harley-Davidson,Consumer durables
Mitsubishi Electric,Capital goods
Norilsk Nickel,Materials
Toyota Industries,Consumer durables
Formosa Petrochemical,Oil & gas operations
Lear,Consumer durables
Tenaga Nasional,Utilities
CLP Holdings,Utilities
Syngenta,Chemicals
Woolworths,Food markets
Arcelor,Materials
Delhaize Group,Food markets
China Life Insurance,Insurance
Banche Popolari Unite,Banking
Whirlpool,Consumer durables
Yamanouchi Pharm,Drugs & biotechnology
H & M Hennes & Mauritz,Retailing
Assurant,Insurance
American Standard,Capital goods
Allied Domecq,Food drink & tobacco
Safeway Plc,Food markets
Grupo Ferrovial,Construction
Osaka Gas,Utilities
Banca Antonveneta,Banking
Williams Cos,Utilities
Becton Dickinson,Health care equipment & services
Popular,Banking
Atlas Copco,Capital goods
Baoshan Iron & Steel,Materials
Sovereign Bancorp,Banking
Thales,Aerospace & defense
Nippon Express,Transportation
Boston Scientific,Health care equipment & services
Hellenic Telecom,Telecommunications services
Hanson,Construction
Jardine Matheson,Food markets
Sompo Japan Insurance,Insurance
Hughes Electronics,Media
Cablevision NY Group,Media
British Airways,Transportation
CenterPoint Energy,Utilities
Oversea-Chinese Banking,Banking
Pernod Ricard,Food drink & tobacco
Chinatrust Financial,Banking
DSM,Chemicals
Scottish & Newcastle,Food drink & tobacco
Industrial Bank of Korea,Banking
Imperial Chemical Inds,Chemicals
Merck,Drugs & biotechnology
Ajinomoto,Food drink & tobacco
Matsushita Electric Works,Capital goods
Mazda Motor,Consumer durables
Sunoco,Oil & gas operations
MBIA,Insurance
Starwood Hotels,Hotels restaurants & leisure
Enbridge,Oil & gas operations
Cathay Pacific Airways,Transportation
Sanyo Electric,Consumer durables
MAN Group,Capital goods
Continental,Consumer durables
Dean Foods,Food drink & tobacco
Safeway,Food markets
Electronic Data Sys,Software & services
BAE Systems,Aerospace & defense
Fuji Heavy Inds,Consumer durables
Halliburton,Oil & gas operations
Office Depot,Retailing
PG&E,Utilities
Royal & Sun Alliance,Insurance
Secom,Business services & supplies
Hon Hai Precision Ind,Technology hardware & equipment
Hana Bank,Banking
Union Planters,Banking
Public Power,Utilities
Autostrade,Transportation
Yamato Transport,Transportation
Avon Products,Household & personal products
First Tennessee Natl,Banking
Japan Airlines Sys,Transportation
Dixons Group,Retailing
Sandvik,Capital goods
Sabanci Group,Diversified financials
Simon Property Group,Diversified financials
Seagate Technology Cayman,Technology hardware & equipment
Qantas Airways,Transportation
Sankyo (pharma),Drugs & biotechnology
Capitalia,Banking
Franklin Resources,Diversified financials
Sumitomo Metal Inds,Materials
TeliaSonera Group,Telecommunications services
Royal Caribbean,Hotels restaurants & leisure
Synovus Finl,Banking
Sprint PCS,Telecommunications services
ITT Industries,Conglomerates
SK Corp,Oil & gas operations
Everest Re Group,Insurance
Scania,Capital goods
Suncorp-Metway,Diversified financials
TXU,Utilities
HeidelbergCement,Construction
Banca Naz del Lavoro,Banking
Bombardier,Aerospace & defense
mmO2,Telecommunications services
Bank Mandiri,Banking
Celesio,Health care equipment & services
Sun Microsystems,Technology hardware & equipment
Cox Communications,Media
Rohm,Semiconductors
Sodexho Alliance,Hotels restaurants & leisure
Cincinnati Financial,Insurance
Lucent Technologies,Technology hardware & equipment
Samsung SDI,Business services & supplies
Mattel,Household & personal products
Murata Manufacturing,Business services & supplies
Delphi,Consumer durables
Swiss Life Holding,Insurance
Air France Group,Transportation
Huntington Bancshs,Banking
Supervalu,Food markets
Conseco,Diversified financials
Swire Pacific,Diversified financials
H&R Block,Business services & supplies
ASFA-Autoroutes,Transportation
Guidant,Health care equipment & services
Ambac Financial Group,Insurance
Asahi Glass,Construction
VNU,Media
Ciba Specialty Chemicals,Chemicals
Oji Paper,Materials
Torchmark,Insurance
Pepco Holdings,Utilities
Hilton Group,Hotels restaurants & leisure
Toys R` Us,Retailing
United Utilities,Utilities
Taisei,Construction
OMV Group,Oil & gas operations
Quest Diagnostics,Health care equipment & services
Skandia Insurance,Insurance
British Sky Broadcasting,Media
White Mountains Ins,Insurance
Seiko Epson,Technology hardware & equipment
Unibanco Group,Banking
MGM Mirage,Hotels restaurants & leisure
Shikoku Electric Power,Utilities
Valeo,Consumer durables
Ebay,Retailing
AutoZone,Retailing
New York Community,Banking
Wesfarmers,Conglomerates
Mitsui Chemicals,Chemicals
FCC Group,Construction
Nippon Yusen,Transportation
Bradford & Bingley,Diversified financials
Gallaher Group,Food drink & tobacco
China Steel,Materials
Tokyu,Transportation
Genuine Parts,Consumer durables
Brambles Group,Business services & supplies
Parker Hannifin,Capital goods
Grupo Modelo,Food drink & tobacco
Amcor,Materials
Yapi ve Kredi,Banking
Beiersdorf,Household & personal products
China Merchants Bank,Banking
GreenPoint Financial,Banking
Aramark,Business services & supplies
Fairfax Financial,Insurance
Sampo,Insurance
Estee Lauder Cos,Household & personal products
Sumitomo Trust & Banking,Banking
MTR,Transportation
Lagardere SCA,Media
America Telecom,Telecommunications services
UnumProvident,Insurance
Tostem Inax,Construction
Lexmark International,Business services & supplies
Daido Life Insurance,Insurance
Apple Computer,Technology hardware & equipment
Inditex,Household & personal products
adidas-Salomon,Household & personal products
AES,Utilities
Land Securities Group,Diversified financials
North Fork Bancorp,Banking
Flextronics Intl,Business services & supplies
El Paso,Oil & gas operations
Clorox,Household & personal products
Xcel Energy,Utilities
AMP,Insurance
Citic Pacific,Conglomerates
Mega Financial Holding,Diversified financials
Caremark Rx,Health care equipment & services
Baker Hughes,Oil & gas operations
Eisai,Drugs & biotechnology
Hershey Foods,Food drink & tobacco
Equity Residential,Diversified financials
Kinki Nippon Railway,Transportation
Huaneng Power Intl,Utilities
Harrah`s Entertain,Hotels restaurants & leisure
Stryker,Health care equipment & services
Old Republic Intl,Insurance
Liberty Media,Media
AdvancePCS,Health care equipment & services
Sumitomo Electric,Capital goods
Banco de Sabadell,Banking
Rolls-Royce,Aerospace & defense
KarstadtQuelle,Retailing
Telekom Indonesia,Telecommunications services
Teva Pharmaceutical Inds,Drugs & biotechnology
Telkom,Telecommunications services
PartnerRe,Insurance
Zions Bancorp,Banking
Tenet Healthcare,Health care equipment & services
Nipponkoa Insurance,Insurance
Infineon Technologies,Semiconductors
Hokkaido Electric Power,Utilities
TUI Group,Hotels restaurants & leisure
Mitsui OSK Lines,Transportation
Humana,Health care equipment & services
Anglo Irish Bank,Banking
Bharat Petroleum,Oil & gas operations
Foster`s Group,Food drink & tobacco
Banknorth Group,Banking
Dover,Conglomerates
Edison,Utilities
L-3 Communications,Aerospace & defense
Temple-Inland,Materials
Hongkong Electric,Utilities
Friends Provident,Insurance
Unisys,Software & services
National Commerce Finl,Banking
Daiwa Securities,Diversified financials
Talisman Energy,Oil & gas operations
Applied Materials,Semiconductors
Starbucks,Hotels restaurants & leisure
Bed Bath & Beyond,Retailing
ICICI Bank,Banking
Irish Life & Permanent,Insurance
Murphy Oil,Oil & gas operations
Forest Labs,Drugs & biotechnology
Affiliated Computer,Software & services
Fiserv,Software & services
Dollar General,Retailing
Compass Bancshares,Banking
Aioi Insurance,Insurance
Femsa,Food drink & tobacco
United Microelectronics,Semiconductors
Dassault Aviation,Aerospace & defense
Express Scripts,Health care equipment & services
Kajima,Construction
Wm Morrison Supermarkets,Food markets
Calpine,Utilities
Wisconsin Energy,Utilities
Asahi Breweries,Food drink & tobacco
Bank of Yokohama,Banking
Northwest Airlines,Transportation
Reed Elsevier,Media
SKF Group,Capital goods
Telekom Malaysia,Telecommunications services
VF,Household & personal products
Unipol,Insurance
Pearson,Media
Energy East,Utilities
Publicis Groupe,Media
Mohawk Industries,Consumer durables
Fondiaria-SAI,Insurance
EFG Eurobank Ergasias,Banking
SPX,Conglomerates
Asahi Kasei,Chemicals
Canadian Natural Res,Oil & gas operations
Dana,Consumer durables
Alpha Bank,Banking
Hindustan Petroleum,Oil & gas operations
Hokuriku Electric Power,Utilities
Mediaset,Media
Intl Game Technology,Hotels restaurants & leisure
Henderson Land Dev,Diversified financials
Fresenius,Health care equipment & services
Nippon Unipac,Materials
Willis Group Holdings,Insurance
Electronic Arts,Software & services
Toyota Tsusho,Trading companies
NiSource,Utilities
Kinder Morgan,Utilities
E-Trade Financial,Diversified financials
BHW Holding,Diversified financials
Smiths Group,Conglomerates
Wm Wrigley Jr,Food drink & tobacco
Alstom,Capital goods
Avery Dennison,Business services & supplies
Analog Devices,Semiconductors
Hudson City Bancorp,Banking
LG Card,Diversified financials
ACS Group,Construction
Shiseido,Household & personal products
Westfield America Trust,Diversified financials
Nordstrom,Retailing
Thomson,Consumer durables
Securitas,Business services & supplies
Koe Group,Diversified financials
Tatneft,Oil & gas operations
Wharf (Holdings) Hong,Diversified financials
Orkla,Food drink & tobacco
Alliance UniChem,Health care equipment & services
QBE Insurance Group,Insurance
Siam Cement,Construction
Luxottica Group,Household & personal products
Bank Hapoalim,Banking
WR Berkley,Insurance
Rockwell Automation,Capital goods
Komatsu,Capital goods
Cable & Wireless,Telecommunications services
Telecom of New Zealand,Telecommunications services
Bank of East Asia,Banking
Yamaha Motor,Consumer durables
Agilent Technologies,Technology hardware & equipment
Serono,Drugs & biotechnology
Sanmina-SCI,Technology hardware & equipment
Cooper Industries,Capital goods
Public Bank,Banking
Fanuc,Capital goods
Olympus,Health care equipment & services
EchoStar Commun,Media
Scana,Utilities
Sherwin-Williams,Retailing
Allied Waste Inds,Business services & supplies
Sudzucker,Food drink & tobacco
Yahoo,Software & services
PacifiCare Health,Health care equipment & services
Westfield Trust,Diversified financials
SunGard Data Systems,Software & services
Barrick Gold,Materials
Shimizu,Construction
MeadWestvaco,Materials
TDK,Business services & supplies
Obayashi,Construction
Samsung Fire & Marine,Insurance
Formosa Chems & Fibre,Chemicals
All Nippon Airways,Transportation
Nikko Cordial,Diversified financials
Providian Financial,Diversified financials
Dentsu,Media
Bankgesellschaft Berlin,Banking
AMR,Transportation
Rentokil Initial,Business services & supplies
Korea Exchange Bank,Banking
Interpublic Group,Media
Jones Apparel Group,Household & personal products
Macquarie Bank,Diversified financials
Swatch Group,Household & personal products
Toray Industries,Household & personal products
Nissho Iwai-Nichimen,Trading companies
Kobe Steel,Materials
Grupo Carso,Conglomerates
Canadian Pacific Railway,Transportation
Autoliv,Consumer durables
Hilton Hotels,Hotels restaurants & leisure
Shanghai Pudong Dev Bk,Banking
Taiyo Life Insurance,Insurance
Daiwa House Industry,Construction
Vornado Realty,Diversified financials
Man Group Plc,Diversified financials
Pioneer,Consumer durables
British Land,Diversified financials
Family Dollar Stores,Retailing
Ameritrade Holding,Diversified financials
Sanlam South,Insurance
Antarchile,Diversified financials
Corporation Mapfre,Insurance
Next,Retailing
Fujisawa Pharmaceutical,Drugs & biotechnology
Credit Foncier,Banking
Archstone-Smith,Diversified financials
Veritas Software,Software & services
Newell Rubbermaid,Household & personal products
Mediobanca,Diversified financials
Black & Decker,Consumer durables
Quanta Computer,Technology hardware & equipment
Arab Bank,Banking
Marui,Retailing
Great Eastern Holdings,Insurance
Mitsui Trust,Banking
Inco,Materials
InterContinental Hotels,Hotels restaurants & leisure
Corning,Technology hardware & equipment
Computer Associates,Software & services
Skanska,Construction
Daikin Industries,Capital goods
Kubota,Capital goods
Exel,Transportation
MGIC Investment,Insurance
CenturyTel,Telecommunications services
Commerce Bancorp,Banking
RMC Group,Construction
Insurance Australia Group,Insurance
Banca Lombarda Group,Banking
Formosa Plastics,Chemicals
Solectron,Technology hardware & equipment
